seed,condition,promote,winner_index,selected_family,selected_family_rho,reported_trials,actual_trials,winner_validation_ic,winner_holdout_ic,nominal_p,selected_family_max_ic
0,winner_only,True,26,0,0.15,1,256,0.013892207117432205,-0.00424600089315811,0.012070540591299063,0.013892207117432205
0,selected_family_only,False,26,0,0.15,32,256,0.013892207117432205,-0.00424600089315811,0.012070540591299063,0.013892207117432205
0,hierarchical_manifest,False,26,0,0.15,256,256,0.013892207117432205,-0.00424600089315811,0.012070540591299063,0.013892207117432205
0,complete_global_manifest,False,26,0,0.15,256,256,0.013892207117432205,-0.00424600089315811,0.012070540591299063,0.013892207117432205
1,winner_only,True,154,4,0.5499999999999999,1,256,0.015043198445545435,0.005413554215909775,0.006921212771749574,0.015043198445545435
1,selected_family_only,False,154,4,0.5499999999999999,32,256,0.015043198445545435,0.005413554215909775,0.006921212771749574,0.015043198445545435
1,hierarchical_manifest,False,154,4,0.5499999999999999,256,256,0.015043198445545435,0.005413554215909775,0.006921212771749574,0.015043198445545435
1,complete_global_manifest,False,154,4,0.5499999999999999,256,256,0.015043198445545435,0.005413554215909775,0.006921212771749574,0.015043198445545435
2,winner_only,True,13,0,0.15,1,256,0.016790545632935375,0.004883727975986161,0.0013823490728080748,0.016790545632935375
2,selected_family_only,True,13,0,0.15,32,256,0.016790545632935375,0.004883727975986161,0.0013823490728080748,0.016790545632935375
2,hierarchical_manifest,False,13,0,0.15,256,256,0.016790545632935375,0.004883727975986161,0.0013823490728080748,0.016790545632935375
2,complete_global_manifest,False,13,0,0.15,256,256,0.016790545632935375,0.004883727975986161,0.0013823490728080748,0.016790545632935375
3,winner_only,True,41,1,0.25,1,256,0.02124764663814212,-0.00025741828654980286,0.00022885337017974246,0.02124764663814212
3,selected_family_only,True,41,1,0.25,32,256,0.02124764663814212,-0.00025741828654980286,0.00022885337017974246,0.02124764663814212
3,hierarchical_manifest,False,41,1,0.25,256,256,0.02124764663814212,-0.00025741828654980286,0.00022885337017974246,0.02124764663814212
3,complete_global_manifest,False,41,1,0.25,256,256,0.02124764663814212,-0.00025741828654980286,0.00022885337017974246,0.02124764663814212
4,winner_only,True,102,3,0.44999999999999996,1,256,0.014364593248357677,0.002223099619182255,0.007493260397697722,0.014364593248357677
4,selected_family_only,False,102,3,0.44999999999999996,32,256,0.014364593248357677,0.002223099619182255,0.007493260397697722,0.014364593248357677
4,hierarchical_manifest,False,102,3,0.44999999999999996,256,256,0.014364593248357677,0.002223099619182255,0.007493260397697722,0.014364593248357677
4,complete_global_manifest,False,102,3,0.44999999999999996,256,256,0.014364593248357677,0.002223099619182255,0.007493260397697722,0.014364593248357677
5,winner_only,True,90,2,0.35,1,256,0.01855130808559539,-0.003479220436665763,0.0004489465663816282,0.01855130808559539
5,selected_family_only,True,90,2,0.35,32,256,0.01855130808559539,-0.003479220436665763,0.0004489465663816282,0.01855130808559539
5,hierarchical_manifest,False,90,2,0.35,256,256,0.01855130808559539,-0.003479220436665763,0.0004489465663816282,0.01855130808559539
5,complete_global_manifest,False,90,2,0.35,256,256,0.01855130808559539,-0.003479220436665763,0.0004489465663816282,0.01855130808559539
6,winner_only,True,117,3,0.44999999999999996,1,256,0.014353717500034311,0.0022396120860021357,0.0071057935935488455,0.014353717500034311
6,selected_family_only,False,117,3,0.44999999999999996,32,256,0.014353717500034311,0.0022396120860021357,0.0071057935935488455,0.014353717500034311
6,hierarchical_manifest,False,117,3,0.44999999999999996,256,256,0.014353717500034311,0.0022396120860021357,0.0071057935935488455,0.014353717500034311
6,complete_global_manifest,False,117,3,0.44999999999999996,256,256,0.014353717500034311,0.0022396120860021357,0.0071057935935488455,0.014353717500034311
7,winner_only,True,119,3,0.44999999999999996,1,256,0.010545994794813768,0.003984305689190734,0.038038852366953396,0.010545994794813768
7,selected_family_only,False,119,3,0.44999999999999996,32,256,0.010545994794813768,0.003984305689190734,0.038038852366953396,0.010545994794813768
7,hierarchical_manifest,False,119,3,0.44999999999999996,256,256,0.010545994794813768,0.003984305689190734,0.038038852366953396,0.010545994794813768
7,complete_global_manifest,False,119,3,0.44999999999999996,256,256,0.010545994794813768,0.003984305689190734,0.038038852366953396,0.010545994794813768
8,winner_only,True,152,4,0.5499999999999999,1,256,0.016764726488828086,0.004721711520005798,0.0036506750546856986,0.016764726488828086
8,selected_family_only,False,152,4,0.5499999999999999,32,256,0.016764726488828086,0.004721711520005798,0.0036506750546856986,0.016764726488828086
8,hierarchical_manifest,False,152,4,0.5499999999999999,256,256,0.016764726488828086,0.004721711520005798,0.0036506750546856986,0.016764726488828086
8,complete_global_manifest,False,152,4,0.5499999999999999,256,256,0.016764726488828086,0.004721711520005798,0.0036506750546856986,0.016764726488828086
9,winner_only,True,29,0,0.15,1,256,0.02012895873339446,-0.006510741153608136,0.0001747899877801227,0.02012895873339446
9,selected_family_only,True,29,0,0.15,32,256,0.02012895873339446,-0.006510741153608136,0.0001747899877801227,0.02012895873339446
9,hierarchical_manifest,True,29,0,0.15,256,256,0.02012895873339446,-0.006510741153608136,0.0001747899877801227,0.02012895873339446
9,complete_global_manifest,True,29,0,0.15,256,256,0.02012895873339446,-0.006510741153608136,0.0001747899877801227,0.02012895873339446
10,winner_only,True,150,4,0.5499999999999999,1,256,0.013947474965448209,0.003085308371388118,0.012936742967257732,0.013947474965448209
10,selected_family_only,False,150,4,0.5499999999999999,32,256,0.013947474965448209,0.003085308371388118,0.012936742967257732,0.013947474965448209
10,hierarchical_manifest,False,150,4,0.5499999999999999,256,256,0.013947474965448209,0.003085308371388118,0.012936742967257732,0.013947474965448209
10,complete_global_manifest,False,150,4,0.5499999999999999,256,256,0.013947474965448209,0.003085308371388118,0.012936742967257732,0.013947474965448209
11,winner_only,True,35,1,0.25,1,256,0.01369954180831614,0.010335147173167587,0.01676955520630789,0.01369954180831614
11,selected_family_only,False,35,1,0.25,32,256,0.01369954180831614,0.010335147173167587,0.01676955520630789,0.01369954180831614
11,hierarchical_manifest,False,35,1,0.25,256,256,0.01369954180831614,0.010335147173167587,0.01676955520630789,0.01369954180831614
11,complete_global_manifest,False,35,1,0.25,256,256,0.01369954180831614,0.010335147173167587,0.01676955520630789,0.01369954180831614
12,winner_only,True,140,4,0.5499999999999999,1,256,0.016915340288245116,0.005334416952708591,0.0016461266992820215,0.016915340288245116
12,selected_family_only,False,140,4,0.5499999999999999,32,256,0.016915340288245116,0.005334416952708591,0.0016461266992820215,0.016915340288245116
12,hierarchical_manifest,False,140,4,0.5499999999999999,256,256,0.016915340288245116,0.005334416952708591,0.0016461266992820215,0.016915340288245116
12,complete_global_manifest,False,140,4,0.5499999999999999,256,256,0.016915340288245116,0.005334416952708591,0.0016461266992820215,0.016915340288245116
13,winner_only,True,73,2,0.35,1,256,0.016807009725733454,0.012893801459181576,0.0020168296543416763,0.016807009725733454
13,selected_family_only,False,73,2,0.35,32,256,0.016807009725733454,0.012893801459181576,0.0020168296543416763,0.016807009725733454
13,hierarchical_manifest,False,73,2,0.35,256,256,0.016807009725733454,0.012893801459181576,0.0020168296543416763,0.016807009725733454
13,complete_global_manifest,False,73,2,0.35,256,256,0.016807009725733454,0.012893801459181576,0.0020168296543416763,0.016807009725733454
14,winner_only,True,9,0,0.15,1,256,0.017633986746922743,0.014579057282327473,0.0009673929312000401,0.017633986746922743
14,selected_family_only,True,9,0,0.15,32,256,0.017633986746922743,0.014579057282327473,0.0009673929312000401,0.017633986746922743
14,hierarchical_manifest,False,9,0,0.15,256,256,0.017633986746922743,0.014579057282327473,0.0009673929312000401,0.017633986746922743
14,complete_global_manifest,False,9,0,0.15,256,256,0.017633986746922743,0.014579057282327473,0.0009673929312000401,0.017633986746922743
15,winner_only,True,118,3,0.44999999999999996,1,256,0.014343573688530568,-0.0053329723086412385,0.010120992609070407,0.014343573688530568
15,selected_family_only,False,118,3,0.44999999999999996,32,256,0.014343573688530568,-0.0053329723086412385,0.010120992609070407,0.014343573688530568
15,hierarchical_manifest,False,118,3,0.44999999999999996,256,256,0.014343573688530568,-0.0053329723086412385,0.010120992609070407,0.014343573688530568
15,complete_global_manifest,False,118,3,0.44999999999999996,256,256,0.014343573688530568,-0.0053329723086412385,0.010120992609070407,0.014343573688530568
16,winner_only,True,100,3,0.44999999999999996,1,256,0.01477535288465762,-0.005907686366092556,0.008952759069753126,0.01477535288465762
